[2020-11-04T21:22:00.118+0300][0.001s][info][gc] Min heap equals to max heap, disabling ShenandoahUncommit
[2020-11-04T21:22:00.121+0300][0.005s][info][gc] Using Shenandoah
[2020-11-04T21:22:00.121+0300][0.005s][info][gc] Heuristics ergonomically sets -XX:+ExplicitGCInvokesConcurrent
[2020-11-04T21:22:00.121+0300][0.005s][info][gc] Heuristics ergonomically sets -XX:+ShenandoahImplicitGCInvokesConcurrent
[2020-11-04T21:22:00.351+0300][0,235s][info][gc] Trigger: Explicit GC request (System.gc())
[2020-11-04T21:22:00.351+0300][0,235s][info][gc] GC(0) Concurrent reset 0,238ms
[2020-11-04T21:22:00.352+0300][0,235s][info][gc] GC(0) Pause Init Mark (process weakrefs) (unload classes) 0,358ms
[2020-11-04T21:22:00.353+0300][0,237s][info][gc] GC(0) Concurrent marking (process weakrefs) (unload classes) 1,463ms
[2020-11-04T21:22:00.353+0300][0,237s][info][gc] GC(0) Concurrent precleaning 0,109ms
[2020-11-04T21:22:00.354+0300][0,237s][info][gc] GC(0) Pause Final Mark (process weakrefs) (unload classes) 0,323ms
[2020-11-04T21:22:00.354+0300][0,238s][info][gc] GC(0) Concurrent weak roots 0,209ms
[2020-11-04T21:22:00.354+0300][0,238s][info][gc] GC(0) Concurrent cleanup 12M->12M(12288M) 0,056ms
[2020-11-04T21:22:00.355+0300][0,238s][info][gc] GC(0) Concurrent class unloading 0,454ms
[2020-11-04T21:22:00.355+0300][0,239s][info][gc] GC(0) Concurrent strong roots 0,291ms
[2020-11-04T21:22:00.357+0300][0,240s][info][gc] GC(0) Concurrent evacuation 1,605ms
[2020-11-04T21:22:00.357+0300][0,240s][info][gc] GC(0) Pause Init Update Refs 0,019ms
[2020-11-04T21:22:00.359+0300][0,243s][info][gc] GC(0) Concurrent update references 2,328ms
[2020-11-04T21:22:00.359+0300][0,243s][info][gc] GC(0) Pause Final Update Refs 0,138ms
[2020-11-04T21:22:00.359+0300][0,243s][info][gc] GC(0) Concurrent cleanup 15M->3M(12288M) 0,071ms
[2020-11-04T21:22:00.361+0300][0,244s][info][gc] Trigger: Explicit GC request (System.gc())
[2020-11-04T21:22:00.361+0300][0,245s][info][gc] GC(1) Concurrent reset 0,285ms
[2020-11-04T21:22:00.361+0300][0,245s][info][gc] GC(1) Pause Init Mark (process weakrefs) (unload classes) 0,138ms
[2020-11-04T21:22:00.363+0300][0,247s][info][gc] GC(1) Concurrent marking (process weakrefs) (unload classes) 1,668ms
[2020-11-04T21:22:00.363+0300][0,247s][info][gc] GC(1) Concurrent precleaning 0,092ms
[2020-11-04T21:22:00.364+0300][0,247s][info][gc] GC(1) Pause Final Mark (process weakrefs) (unload classes) 0,269ms
[2020-11-04T21:22:00.364+0300][0,247s][info][gc] GC(1) Concurrent weak roots 0,260ms
[2020-11-04T21:22:00.364+0300][0,248s][info][gc] GC(1) Concurrent cleanup 3M->3M(12288M) 0,049ms
[2020-11-04T21:22:00.365+0300][0,248s][info][gc] GC(1) Concurrent class unloading 0,591ms
[2020-11-04T21:22:00.365+0300][0,248s][info][gc] GC(1) Concurrent strong roots 0,301ms
[2020-11-04T21:22:00.367+0300][0,251s][info][gc] GC(1) Concurrent evacuation 2,239ms
[2020-11-04T21:22:00.367+0300][0,251s][info][gc] GC(1) Pause Init Update Refs 0,011ms
[2020-11-04T21:22:00.369+0300][0,253s][info][gc] GC(1) Concurrent update references 1,990ms
[2020-11-04T21:22:00.369+0300][0,253s][info][gc] GC(1) Pause Final Update Refs 0,130ms
[2020-11-04T21:22:00.370+0300][0,253s][info][gc] GC(1) Concurrent cleanup 5M->2M(12288M) 0,058ms
[2020-11-04T21:22:02.886+0300][2,770s][info][gc] Trigger: Learning 2 of 5. Free (8601M) is below initial threshold (8601M)
[2020-11-04T21:22:02.886+0300][2,770s][info][gc] GC(2) Concurrent reset 0,269ms
[2020-11-04T21:22:02.887+0300][2,771s][info][gc] GC(2) Pause Init Mark (unload classes) 0,311ms
[2020-11-04T21:22:03.109+0300][2,993s][info][gc] GC(2) Concurrent marking (unload classes) 222,009ms
[2020-11-04T21:22:03.110+0300][2,994s][info][gc] GC(2) Pause Final Mark (unload classes) 0,747ms
[2020-11-04T21:22:03.111+0300][2,994s][info][gc] GC(2) Concurrent weak roots 0,376ms
[2020-11-04T21:22:03.111+0300][2,994s][info][gc] GC(2) Concurrent cleanup 3362M->3362M(12288M) 0,037ms
[2020-11-04T21:22:03.111+0300][2,995s][info][gc] GC(2) Concurrent class unloading 0,698ms
[2020-11-04T21:22:03.111+0300][2,995s][info][gc] GC(2) Concurrent strong roots 0,069ms
[2020-11-04T21:22:03.192+0300][3,076s][info][gc] GC(2) Concurrent evacuation 80,898ms
[2020-11-04T21:22:03.193+0300][3,076s][info][gc] GC(2) Pause Init Update Refs 0,019ms
[2020-11-04T21:22:03.287+0300][3,171s][info][gc] GC(2) Concurrent update references 94,639ms
[2020-11-04T21:22:03.288+0300][3,171s][info][gc] GC(2) Pause Final Update Refs 0,274ms
[2020-11-04T21:22:03.288+0300][3,172s][info][gc] GC(2) Concurrent cleanup 3674M->610M(12288M) 0,116ms
[2020-11-04T21:22:04.253+0300][4,136s][info][gc] Trigger: Learning 3 of 5. Free (8601M) is below initial threshold (8601M)
[2020-11-04T21:22:04.256+0300][4,140s][info][gc] GC(3) Concurrent reset 3,563ms
[2020-11-04T21:22:04.257+0300][4,140s][info][gc] GC(3) Pause Init Mark (unload classes) 0,272ms
[2020-11-04T21:22:04.354+0300][4,238s][info][gc] GC(3) Concurrent marking (unload classes) 97,575ms
[2020-11-04T21:22:04.355+0300][4,239s][info][gc] GC(3) Pause Final Mark (unload classes) 0,678ms
