[2020-11-04T21:41:26.071+0300][0.001s][info][gc] Min heap equals to max heap, disabling ShenandoahUncommit
[2020-11-04T21:41:26.076+0300][0.005s][info][gc] Using Shenandoah
[2020-11-04T21:41:26.076+0300][0.005s][info][gc] Heuristics ergonomically sets -XX:+ExplicitGCInvokesConcurrent
[2020-11-04T21:41:26.076+0300][0.005s][info][gc] Heuristics ergonomically sets -XX:+ShenandoahImplicitGCInvokesConcurrent
[2020-11-04T21:41:26.301+0300][0,231s][info][gc] Trigger: Explicit GC request (System.gc())
[2020-11-04T21:41:26.301+0300][0,231s][info][gc] GC(0) Concurrent reset 0,329ms
[2020-11-04T21:41:26.301+0300][0,231s][info][gc] GC(0) Pause Init Mark (process weakrefs) (unload classes) 0,310ms
[2020-11-04T21:41:26.303+0300][0,233s][info][gc] GC(0) Concurrent marking (process weakrefs) (unload classes) 1,393ms
[2020-11-04T21:41:26.303+0300][0,233s][info][gc] GC(0) Concurrent precleaning 0,072ms
[2020-11-04T21:41:26.303+0300][0,233s][info][gc] GC(0) Pause Final Mark (process weakrefs) (unload classes) 0,208ms
[2020-11-04T21:41:26.304+0300][0,234s][info][gc] GC(0) Concurrent weak roots 0,367ms
[2020-11-04T21:41:26.304+0300][0,234s][info][gc] GC(0) Concurrent cleanup 6M->6M(512M) 0,025ms
[2020-11-04T21:41:26.304+0300][0,234s][info][gc] GC(0) Concurrent class unloading 0,715ms
[2020-11-04T21:41:26.305+0300][0,235s][info][gc] GC(0) Concurrent strong roots 0,250ms
[2020-11-04T21:41:26.306+0300][0,235s][info][gc] GC(0) Concurrent evacuation 0,919ms
[2020-11-04T21:41:26.306+0300][0,236s][info][gc] GC(0) Pause Init Update Refs 0,029ms
[2020-11-04T21:41:26.307+0300][0,237s][info][gc] GC(0) Concurrent update references 1,390ms
[2020-11-04T21:41:26.307+0300][0,237s][info][gc] GC(0) Pause Final Update Refs 0,099ms
[2020-11-04T21:41:26.308+0300][0,237s][info][gc] GC(0) Concurrent cleanup 8M->2M(512M) 0,053ms
[2020-11-04T21:41:26.309+0300][0,239s][info][gc] Trigger: Explicit GC request (System.gc())
[2020-11-04T21:41:26.309+0300][0,239s][info][gc] GC(1) Concurrent reset 0,155ms
[2020-11-04T21:41:26.309+0300][0,239s][info][gc] GC(1) Pause Init Mark (process weakrefs) (unload classes) 0,110ms
[2020-11-04T21:41:26.311+0300][0,240s][info][gc] GC(1) Concurrent marking (process weakrefs) (unload classes) 1,463ms
[2020-11-04T21:41:26.311+0300][0,241s][info][gc] GC(1) Concurrent precleaning 0,115ms
[2020-11-04T21:41:26.311+0300][0,241s][info][gc] GC(1) Pause Final Mark (process weakrefs) (unload classes) 0,185ms
[2020-11-04T21:41:26.311+0300][0,241s][info][gc] GC(1) Concurrent weak roots 0,133ms
[2020-11-04T21:41:26.311+0300][0,241s][info][gc] GC(1) Concurrent cleanup 2M->2M(512M) 0,048ms
[2020-11-04T21:41:26.312+0300][0,242s][info][gc] GC(1) Concurrent class unloading 0,456ms
[2020-11-04T21:41:26.312+0300][0,242s][info][gc] GC(1) Concurrent strong roots 0,069ms
[2020-11-04T21:41:26.312+0300][0,242s][info][gc] GC(1) Concurrent evacuation 0,218ms
[2020-11-04T21:41:26.312+0300][0,242s][info][gc] GC(1) Pause Init Update Refs 0,009ms
